"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1",0,1,18,0,1,1,4,4,"at_home","teacher","course","mother",2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6
"2",0,1,17,0,1,0,1,1,"at_home","other","course","father",1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6
"3",0,1,15,0,0,0,1,1,"at_home","other","other","mother",1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10
"4",0,1,15,0,1,0,4,2,"health","services","home","mother",1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15
"5",0,1,16,0,1,0,3,3,"other","other","home","father",1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10
"6",0,0,16,0,0,0,4,3,"services","other","reputation","mother",1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15
"7",0,0,16,0,0,0,2,2,"other","other","home","mother",1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11
"8",0,1,17,0,1,1,4,4,"other","teacher","home","mother",2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6
"9",0,0,15,0,0,1,3,2,"services","other","home","mother",1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19
"10",0,0,15,0,1,0,3,4,"other","other","home","mother",1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15
"11",0,1,15,0,1,0,4,4,"teacher","health","reputation","mother",1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9
"12",0,1,15,0,1,0,2,1,"services","other","reputation","father",3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12
"13",0,0,15,0,0,0,4,4,"health","services","course","father",1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14
"14",0,0,15,0,1,0,4,3,"teacher","other","course","mother",2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11
"15",0,0,15,0,1,1,2,2,"other","other","home","other",1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16
"16",0,1,16,0,1,0,4,4,"health","other","home","mother",1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14
"17",0,1,16,0,1,0,4,4,"services","services","reputation","mother",1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14
"18",0,1,16,0,1,0,3,3,"other","other","reputation","mother",3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10
"19",0,0,17,0,1,0,3,2,"services","services","course","mother",1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5
"20",0,0,16,0,0,0,4,3,"health","other","home","father",1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10
"21",0,0,15,0,1,0,4,3,"teacher","other","reputation","mother",1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15
"22",0,0,15,0,1,0,4,4,"health","health","other","father",1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15
"23",0,0,16,0,0,0,4,2,"teacher","other","course","mother",1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16
"24",0,0,16,0,0,0,2,2,"other","other","reputation","mother",2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12
"25",0,1,15,1,1,0,2,4,"services","health","course","mother",1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8
"26",0,1,16,0,1,0,2,2,"services","services","home","mother",1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8
"27",0,0,15,0,1,0,2,2,"other","other","home","mother",1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11
"28",0,0,15,0,1,0,4,2,"health","services","other","mother",1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15
"29",0,0,16,0,0,1,3,4,"services","other","home","mother",1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11
"30",0,0,16,0,1,0,4,4,"teacher","teacher","home","mother",1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11
"31",0,0,15,0,1,0,4,4,"health","services","home","mother",1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12
"32",0,0,15,0,1,0,4,4,"services","services","reputation","mother",2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17
"33",0,0,15,1,1,0,4,3,"teacher","at_home","course","mother",1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16
